Attributes	open	open	open	open	open	open	open	open	open	open	high	high	high	high	high	high	high	high	high	high	low	low	low	low	low	low	low	low	low	low	close	close	close	close	close	close	close	close	close	close	volume	volume	volume	volume	volume	volume	volume	volume	volume	volume
Symbols	MMM	AOS	ABT	ABBV	ACN	ATVI	AYI	ADBE	AAP	AMD	MMM	AOS	ABT	ABBV	ACN	ATVI	AYI	ADBE	AAP	AMD	MMM	AOS	ABT	ABBV	ACN	ATVI	AYI	ADBE	AAP	AMD	MMM	AOS	ABT	ABBV	ACN	ATVI	AYI	ADBE	AAP	AMD	MMM	AOS	ABT	ABBV	ACN	ATVI	AYI	ADBE	AAP	AMD
date																																																		
2019-04-05	215.88	55.01	78.9	82.82	177.44	47.08	137.22	269.44	174.31	29.64	216.49	55.21	79.36	84.18	178.42	47.54	139.91	269.94	176.83	29.69	214.8	54.85	78.39	82.67	177.04	46.68	136.6	266.59	174.31	28.8	215.41	55.17	79.0	83.45	178.15	47.29	138.99	267.45	176.78	28.98	1391097	806477	3434494	3996624	1861494	5977000	529915	1970627	741279	65662738
2019-04-08	214.71	54.8	78.91	83.7	177.67	47.23	138.66	266.96	175.78	28.69	215.07	55.49	78.91	84.0	179.08	47.63	140.82	269.09	178.04	28.95	213.47	54.54	77.95	82.78	177.37	46.37	137.84	264.7	173.83	28.18	215.02	55.22	78.52	83.98	178.91	47.57	139.78	268.81	177.59	28.53	1130042	1277417	5178878	3499353	1373468	5563806	364335	1796796	830258	58002493
2019-04-09	214.42	54.83	78.24	83.77	177.75	47.19	138.99	267.12	176.9	28.24	214.57	54.96	78.96	83.78	178.47	47.65	140.43	269.99	177.72	28.38	211.82	53.8	78.06	82.5	177.28	46.85	138.16	266.8	175.33	27.19	211.96	53.84	78.67	82.69	177.73	47.01	139.48	268.99	175.65	27.24	1516450	1021129	4836715	3712813	1813989	5091005	429659	1605892	616239	75539793
2019-04-10	212.42	53.99	78.72	83.2	176.8	47.34	139.78	269.47	176.7	27.46	212.71	54.2	79.42	83.38	177.75	47.96	140.19	272.16	178.86	28.12	210.72	53.54	78.56	82.6	176.1	47.15	138.35	269.01	174.25	27.32	212.11	54.19	78.97	82.95	177.0	47.86	139.86	271.58	178.8	27.83	1348780	1085518	5604667	3641988	1582598	3548256	245400	1469979	1079547	64368144
2019-04-11	211.71	54.26	79.19	83.2	177.18	48.06	140.0	271.95	178.65	27.81	213.71	54.94	79.23	83.25	178.47	48.24	140.99	272.92	181.02	28.05	211.44	54.16	78.35	81.23	176.9	46.86	139.09	270.77	177.89	27.46	213.53	54.89	78.51	81.77	178.36	47.17	140.88	271.9	180.96	27.79	1181248	725704	4432118	9094188	1417211	5198572	239644	2085789	705349	44801179
2019-04-12	215.1	55.23	78.37	80.67	178.5	47.4	141.64	273.01	180.96	28.21	217.49	55.59	78.85	81.81	179.36	47.68	143.05	273.51	181.8	28.38	214.35	55.04	77.82	79.84	177.8	46.94	141.11	270.82	179.74	27.66	217.42	55.51	78.01	80.78	178.64	47.28	143.0	271.86	180.11	27.85	1922409	740391	5481957	5011702	2663423	3802097	228050	1681371	922631	41048838
2019-04-15	216.84	55.54	78.11	80.96	178.41	47.27	143.47	271.86	180.54	27.8	217.36	55.76	78.46	81.51	179.64	47.57	144.48	273.71	181.78	27.84	214.9	55.29	77.46	80.37	177.95	45.64	142.01	270.62	179.03	26.96	215.83	55.59	77.5	81.03	179.3	45.75	144.37	272.22	181.43	27.33	1483313	503539	6095197	3495510	1619779	7343713	322931	1462311	913242	40812497
2019-04-16	216.59	55.83	77.94	81.11	179.8	45.95	144.5	273.07	182.56	27.72	217.67	56.03	78.7	81.3	179.9	45.95	144.88	273.39	182.56	28.18	215.48	55.65	76.06	80.02	178.26	44.74	141.15	269.64	179.51	27.49	216.9	55.94	76.38	80.21	179.06	45.06	141.76	271.43	179.95	27.93	1549643	623862	6227792	3624812	1618240	9742206	452350	1638464	676878	47340055
2019-04-17	217.63	56.19	76.18	80.1	179.58	45.17	142.11	272.17	179.95	28.21	219.33	56.37	76.29	80.2	180.0	45.34	143.07	272.67	180.05	28.27	217.18	55.66	72.36	77.55	178.9	43.96	140.02	268.44	176.67	27.22	217.64	56.0	72.88	77.98	178.95	44.98	141.23	269.45	176.81	27.49	1977615	767667	11212434	6817105	1637446	6663148	376496	2391518	741505	48240768
2019-04-18	217.98	56.08	73.64	78.06	178.72	45.18	142.42	270.09	176.56	27.6	219.67	56.66	74.9	78.21	179.0	45.59	142.98	270.82	177.13	27.88	217.62	55.93	72.75	76.81	177.39	44.65	141.24	266.64	174.11	27.34	218.88	56.49	73.92	77.57	178.61	45.31	142.44	270.57	175.4	27.68	1780159	822224	9712196	7785262	1319677	4582974	326459	2028988	1025314	39880890
